Date,Summary,MarketName,Period,ProfitAndLoss,Transaction type,Reference,Open level,Close level,Size,Currency,PL Amount,Cash transaction,DateUtc,OpenDateUtc,CurrencyIsoCode
02/03/22,Closing trades,EUR/JPY converted at 0.00866681706545,DEC-49,"$3,124.21",DEAL,4MX7SPA3,129.402,130.904,+2.40,$,"3,124.21",false,2022-02-03T14:44:30,2022-02-02T20:10:39,USD
02/02/22,FX Interest,Daily FX Interest for 3 day EUR/JPY converted at 0.0088,-,$-18.37,WITH,31997224,-,0,-,$,-18.37,false,2022-02-03T02:28:25,2022-02-03T02:28:25,USD
02/01/22,Closing trades,USD/JPY converted at 0.008668504622265,DEC-49,"$1,262.13",DEAL,3XCRTABA,115.529,114.801,-2,$,"1,262.13",false,2022-02-02T03:55:58,2022-01-31T02:34:28,USD
02/01/22,Closing trades,USD/JPY converted at 0.008668504622265,DEC-49,$124.83,DEAL,37B6X2BA,115.121,114.801,-0.45,$,124.83,false,2022-02-02T03:55:58,2022-02-01T01:24:47,USD
02/01/22,FX Interest,Daily FX Interest for 1 day USD/JPY converted at 0.0088,-,$-6.25,WITH,31565171,-,0,-,$,-6.25,false,2022-02-02T03:17:00,2022-02-02T03:17:00,USD
01/31/22,FX Interest,Daily FX Interest for 1 day USD/JPY converted at 0.0087,-,$-4.87,WITH,31976225,-,0,-,$,-4.87,false,2022-02-01T03:05:31,2022-02-01T03:05:31,USD
01/30/22,FX Interest,Daily FX Interest for 1 day USD/JPY converted at 0.0087,-,$-5.22,WITH,31144229,-,0,-,$,-5.22,false,2022-01-31T03:00:49,2022-01-31T03:00:49,USD
01/30/22,Closing trades,USD/JPY converted at 0.00869770289772,DEC-49,$-427.93,DEAL,3UD89YA3,115.304,115.55,-2,$,-427.93,false,2022-01-31T02:31:48,2022-01-28T18:27:01,USD
01/27/22,Closing trades,USD/JPY converted at 0.0086246724574,DEC-49,"$1,982.16",DEAL,2JT7EVA3,113.767,115.363,+1.44,$,"1,982.16",false,2022-01-27T17:20:33,2022-01-24T19:08:30,USD
01/26/22,FX Interest,Daily FX Interest for 3 day USD/JPY converted at 0.0088,-,$-1.27,WITH,41246278,-,0,-,$,-1.27,false,2022-01-27T02:47:07,2022-01-27T02:47:07,USD
01/25/22,FX Interest,Daily FX Interest for 1 day USD/JPY converted at 0.0088,-,$-1.52,WITH,41851270,-,0,-,$,-1.52,false,2022-01-26T03:13:40,2022-01-26T03:13:40,USD
01/24/22,FX Interest,Daily FX Interest for 1 day USD/JPY converted at 0.0088,-,$-1.39,WITH,41913173,-,0,-,$,-1.39,false,2022-01-25T02:52:38,2022-01-25T02:52:38,USD
01/24/22,Closing trades,USD/JPY converted at 0.00884121572388,DEC-49,$-295.74,DEAL,2F6QETA3,113.891,113.668,+1.50,$,-295.74,false,2022-01-24T18:27:23,2022-01-24T16:13:27,USD
01/24/22,Closing trades,EUR/USD,DEC-49,$307.20,DEAL,Z7SQSNA3,1.13406,1.1315,-1.20,$,307.20,false,2022-01-24T16:10:16,2022-01-23T23:44:18,USD
01/19/22,Closing trades,EUR/JPY converted at 0.008707382504024998,DEC-49,"$1,053.94",DEAL,Y4L4H3A3,130.991,129.478,-0.80,$,"1,053.94",false,2022-01-19T06:19:17,2022-01-18T03:57:43,USD
01/18/22,FX Interest,Daily FX Interest for 1 day EUR/JPY converted at 0.0088,-,$-0.49,WITH,31543205,-,0,-,$,-0.49,false,2022-01-19T01:53:42,2022-01-19T01:53:42,USD
01/17/22,Closing trades,EUR/JPY converted at 0.00876597719283,DEC-49,$-157.87,DEAL,YZ73LJA3,130.687,130.894,-0.87,$,-157.87,false,2022-01-18T02:49:22,2022-01-17T10:52:26,USD
01/17/22,FX Interest,Daily FX Interest for 1 day EUR/JPY converted at 0.0088,-,$-0.77,WITH,23111295,-,0,-,$,-0.77,false,2022-01-18T02:34:28,2022-01-18T02:34:28,USD
01/14/22,Closing trades,EUR/JPY converted at 0.008715276302695,DEC-49,$437.36,DEAL,YFRVAGA4,131.113,130.364,-0.67,$,437.36,false,2022-01-14T20:05:20,2022-01-12T19:25:14,USD
01/12/22,FX Interest,Daily FX Interest for 4 day EUR/JPY converted at 0.0087,-,$1.52,DEPO,31148206,-,0,-,$,1.52,false,2022-01-13T02:23:25,2022-01-13T02:23:25,USD
01/12/22,Cash In,Card payment ****8506,-,$250.00,DEPO,11228360,-,0,-,$,250.00,false,2022-01-12T18:00:29,2022-01-12T18:00:29,USD
01/12/22,Closing trades,USD/JPY converted at 0.008746644943485,DEC-49,$-249.94,DEAL,X9GMFUA4,115.275,114.894,+0.75,$,-249.94,false,2022-01-12T15:50:53,2022-01-12T00:58:40,USD
01/11/22,Closing trades,USD/JPY converted at 0.00871524686916,DEC-49,$-6.54,DEAL,X87EW8A4,115.311,115.321,-0.75,$,-6.54,false,2022-01-11T23:49:42,2022-01-11T23:02:59,USD
